GEOID,NAME,estimate_CROWD,estimate_MUNIT,estimate_LIMENG,estimate_MINRTY,estimate_SNGPNT,estimate_NOHSDP,estimate_AGE17,estimate_P_LIMENG,estimate_POV,estimate_PCI,estimate_GROUPQ,estimate_AGE65,estimate_P_AGE65,estimate_UNINSUR,estimate_P_UNINSUR,estimate_P_POV,estimate_HH,estimate_HU,estimate_P_NOVEH,estimate_P_DISABL,estimate_P_UNEMP,estimate_UNEMP,estimate_DISABL,estimate_MOBILE,estimate_NOVEH,estimate_P_CROWD,estimate_TOTPOP,moe_CROWD,moe_MUNIT,moe_LIMENG,moe_MINRTY,moe_SNGPNT,moe_NOHSDP,moe_AGE17,moe_P_LIMENG,moe_POV,moe_PCI,moe_GROUPQ,moe_AGE65,moe_P_AGE65,moe_UNINSUR,moe_P_UNINSUR,moe_P_POV,moe_HH,moe_HU,moe_P_NOVEH,moe_P_DISABL,moe_P_UNEMP,moe_UNEMP,moe_DISABL,moe_MOBILE,moe_NOVEH,moe_P_CROWD,moe_TOTPOP,estimate_PAGE17,moe_PAGE17,estimate_PSNGPNT,moe_PSNGPNT,estimate_PMINRTY,moe_PMINRTY,estimate_PLIMENG,moe_PLIMENG,estimate_PMUNIT,moe_PMUNIT,estimate_PCROWD,moe_PCROWD,estimate_PGROUPQ,moe_PGROUPQ,estimate_PLPOV,estimate_PLUNEMP,estimate_PLPCI,estimate_PLNOHSDP,SPL_THEME1,RPL_THEME1,estimate_PLAGE65,estimate_PLAGE17,estimate_PLDISABL,estimate_PLSNGPNT,SPL_THEME2,RPL_THEME2,estimate_PLMINRTY,estimate_PLLIMENG,SPL_THEME3,RPL_THEME3,estimate_PLMUNIT,estimate_PLMOBILE,estimate_PLCROWD,estimate_PLNOVEH,estimate_PLGROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",44056,354819,187600,3025833,211679,409654,1442479,5407416,741832,33481,88709,665772,11.5,760623,13.3,13.1,2065239,2271249,5.9,10,5.9,178439,574609,66901,122498,2065239,5779463,1748.8110246679028,4560.860664392193,4353.934197940984,NA,3465.7965895303205,6198,313,271,11814,187,1705,528,0.1,12233,0.2,0.2,5548,912,0.1,0.1,0.1,3615,6551,2035,2578,5548,-555555555,24.95870291063374,NA,10.249612756683367,0.16554151824071894,52.35491601901422,NA,3.4693095556176923,0.0805176455230301,15.622197302013122,0.20071048033235062,2.133215574565462,0.08448425258208811,1.5349003878041956,NA,0.3272,0.4859,0.7995,0.9817,2.5943,0.877,0.07455,0.8508,0.08639,0.7487,1.76044,0.3403,0.8639,0.7609,1.6248,0.8534,0.8792,0.982,0.9794,0.365,0.1702,3.3758000000000004,0.877,9.35534,0.8953
12100,"Atlantic City-Hammonton, NJ Metro Area",2814,20894,14818,116872,10940,24304,58178,253271,37471,31366,5934,45459,16.9,24669,9.3,14.3,99874,127987,13.2,13.5,9.6,13480,35805,2971,13137,99874,268539,372.05510344571275,1014.0853021319261,1011.9234160745565,NA,784.8369257368055,963,27,40,2078,538,495,36,0.1,1437,0.5,0.8,927,211,0.7,0.5,0.7,1006,1355,351,748,927,-555555555,21.664637166296146,NA,10.953801790255723,0.7792223192680331,43.52142519336111,NA,5.850650094167907,0.3995406935373074,16.325095517513496,0.7918773873152627,2.8175501131425595,0.3716054131643355,2.2097348988415093,NA,0.4581,0.9512,0.7095,0.5812,2.7,0.9346,0.6632,0.3613,0.4476,0.8482,2.3203,0.6545,0.7853,0.8792,1.6644999999999999,0.877,0.9023,0.1517,0.5347,0.9769,0.4005,2.9661,0.7094,9.6509,0.9476
12220,"Auburn-Opelika, AL Metro Area",1851,8399,1759,51892,5970,9049,34202,149856,32815,26960,5897,17739,11.1,12516,7.9,21.4,59373,68081,4.6,13.2,5.7,4411,20764,10877,2739,59373,159287,388.4185886385975,653.1500593278699,417.12228422849813,NA,612.6091739437143,756,43,22,1964,898,627,143,0.1,1236,0.8,1.3,763,249,0.7,0.7,0.8,624,1083,735,393,763,-555555555,21.471934307256713,NA,10.055075539386591,1.023674317029021,32.57767426092525,NA,1.173793508434764,0.2783486842660853,12.33677531176099,0.9583103810568606,3.1175786973877013,0.6529727843930236,3.702122583763898,NA,0.9372,0.4576,0.3368,0.2173,1.9489,0.4241,0.0617,0.3429,0.411,0.7094,1.525,0.2147,0.6309,0.3548,0.9857,0.5,0.7635,0.6375,0.3213,0.08483,0.6937,2.5008299999999997,0.4895,6.96043,0.356
12260,"Augusta-Richmond County, GA-SC Metro Area",3612,12870,7005,267998,22911,53746,139222,557048,100412,26335,16519,89310,15,65214,11.3,17.4,214489,255334,6.7,14.4,7.8,21024,82999,35330,14323,214489,594300,469.29734710522285,842.3853037654444,825.607049388509,NA,1210.8393782826854,1790,187,217,3922,411,965,232,0.1,2416,0.4,0.7,1764,425,0.4,0.4,0.5,1382,2110,1248,801,1764,-555555555,23.426215715968365,NA,10.68166665889626,0.5576457051939558,45.09473329968029,NA,1.257521793454065,0.14821030497941223,5.040456813428686,0.32980836029333604,1.6840024430157259,0.2183590942011994,2.77957260642773,NA,0.767,0.856,0.2802,0.7906,2.6938,0.9293,0.4087,0.6545,0.6126,0.8194,2.4952,0.7618,0.8089,0.401,1.2099,0.6518,0.1671,0.9152,0.7481,0.5501,0.5524,2.9329,0.6806,9.331800000000001,0.8901
12420,"Austin-Round Rock, TX Metro Area",29104,179343,102796,979607,57854,141467,486874,1923519,234467,37759,41564,209608,10.2,260677,12.8,11.6,742689,807434,4.4,9.1,4.3,49436,185541,39337,32646,742689,2058351,1399.5156304950654,2666.1132759130846,3616.057936482766,NA,1757.0341487859591,3199,175,147,5928,277,1706,222,0.1,5830,0.3,0.3,2502,675,0.2,0.2,0.2,2173,3161,1385,1331,2502,-555555555,23.653594552143925,NA,7.789801653181884,0.23511737769729948,47.59183443445749,NA,5.344163483698368,0.187991353500632,22.211474869772637,0.3296733098612095,3.9187331440212523,0.18797598291190395,2.019286312198454,NA,0.2016,0.1337,0.9383,0.9215,2.1951,0.6152,0.02828,0.6885,0.02094,0.2277,0.96542,0.08115,0.8403,0.856,1.6963,0.8874,0.9769,0.928,0.9126,0.06684,0.3168,3.20114,0.8141,8.05796,0.6204
12540,"Bakersfield, CA Metro Area",24792,15490,84735,576023,35604,139584,257750,811880,187232,22553,31126,92005,10.4,77216,9,22,267913,295756,6.8,11.2,10.3,39056,95441,21557,18281,267913,883053,1031.136266455603,865.7973203931738,2483.4522342900013,NA,1572.4938791613786,2516,NA,92,5341,302,1112,32,0.1,3016,0.4,0.6,1297,367,0.4,0.2,0.4,1660,2088,878,982,1297,-555555555,29.188508504019577,NA,13.289388719472367,0.5834053710167507,65.2308525082866,NA,10.436887224713013,0.30588679015603837,5.237425445299504,0.2926682568979235,9.253750284607316,0.38226118075124205,3.5248167437288593,NA,0.9529,0.964,0.05913,0.9136,2.88963,0.9764,0.03856,0.9712,0.1649,0.9712,2.14586,0.5445,0.9398,0.9434,1.8832,0.9555,0.1851,0.8355,0.8021,0.5681,0.6754,3.0662000000000003,0.7539,9.98489,0.9738
12580,"Baltimore-Columbia-Towson, MD Metro Area",17810,177284,50683,1200043,93218,179498,615803,2625063,283441,39765,69276,412312,14.8,144452,5.3,10.4,1043798,1155684,10.8,11.7,5.6,82496,320006,12412,112861,1043798,2793250,1203.1458764422541,2406.5180240338946,2064.429703332133,NA,1988.0022635802002,3589,63,145,6353,240,1499,185,0.1,3908,0.1,0.2,3299,673,0.2,0.1,0.1,1932,4073,666,2143,3299,-555555555,22.046111160834155,NA,8.930655165079832,0.18835536321841606,42.96224827709657,NA,1.9307346147501983,0.07864298133383688,15.340179495433008,0.20804151684424974,1.7062688374570558,0.11513993905076705,2.480121722008413,NA,0.1152,0.4319,0.9614,0.945,2.4535,0.8115,0.3856,0.4424,0.2251,0.4921,1.5452000000000001,0.2199,0.7723,0.5861,1.3584,0.7382,0.874,0.6941,0.9486,0.9434,0.4686,3.9287,0.9843,9.285800000000002,0.8848
12620,"Bangor, ME Metro Area",1032,3738,316,9255,5414,9046,28036,144587,22744,27289,6650,26437,17.4,14300,9.5,15.7,61578,75490,8.3,18.6,5.5,4194,27898,8688,5101,61578,151748,216.39316070523117,439.0558051091,122.4540730233176,NA,509.82447960057783,632,12,4,1352,716,748,66,0.1,1163,0.8,0.9,709,327,0.8,0.6,0.6,453,973,466,468,709,-555555555,18.475367055908478,NA,8.792101075059275,0.8217207975766525,6.0989271687271005,NA,0.21855353524175758,0.08469231169556163,4.951649225062922,0.5812122585263997,1.6759232193315796,0.3508829159020374,4.382265334633735,NA,0.6152,0.401,0.3779,0.2147,1.6088,0.2513,0.7172,0.07068,0.9293,0.4555,2.1726799999999997,0.555,0.01047,0.01542,0.02589,0.007853,0.1542,0.545,0.3368,0.7789,0.788,2.6029,0.5524,6.41027,0.2644
12700,"Barnstable Town, MA Metro Area",1086,6489,1743,21919,4777,7448,33113,205806,14799,42578,2781,62229,29.1,6858,3.2,7,94292,163181,5,13.2,4.7,5207,27848,783,4759,94292,213690,238.17010727629108,487.7396846679589,296.1671825169021,NA,473.8027015541385,608,NA,50,1178,890,369,119,0.1,730,0.3,0.6,1216,179,0.4,0.5,0.5,521,1050,157,413,1216,-555555555,15.495811689831063,NA,5.066177406354728,0.49821898960381383,10.257382189152512,NA,0.8469140841374887,0.14390585298256925,3.9765658992162076,0.29886306715581995,1.1517413990582446,0.25215074005305976,1.301417941878422,NA,0,0.2211,0.9769,0.123,1.321,0.1283,0.9794,0.01309,0.411,0.01309,1.4165800000000002,0.1754,0.06545,0.2185,0.28395,0.1021,0.0874,0.02057,0.509,0.144,0.08639,0.84736,0.01832,3.8688900000000004,0.002618
12940,"Baton Rouge, LA Metro Area",7894,36924,10026,358346,32066,66592,197158,774885,130086,30015,23511,109435,13.2,76261,9.4,16.1,301463,350508,6.4,14.2,6.2,25827,115779,42205,19197,301463,829642,712.057581941236,1411.0722873049417,1059.3361128555941,NA,1467.7036485612482,2221,197,197,5008,426,966,256,0.1,2940,0.4,0.6,2072,412,0.3,0.4,0.3,1321,2910,1651,891,2072,-555555555,23.764226015558517,NA,10.636794565170518,0.4813399286461201,43.192847035227246,NA,1.293869412880621,0.13670842077269996,10.53442432127084,0.4023887191216819,2.6185634721342255,0.23551396922093856,2.833872923501944,NA,0.6571,0.5707,0.599,0.822,2.6488,0.9031,0.1928,0.7042,0.5733,0.8141,2.2843999999999998,0.6309,0.7749,0.4216,1.1965,0.6361,0.6812,0.946,0.8226,0.4936,0.5707,3.5140999999999996,0.9188,9.643799999999999,0.945
