GEOID,NAME,estimate_CROWD,estimate_MUNIT,estimate_LIMENG,estimate_MINRTY,estimate_SNGPNT,estimate_NOHSDP,estimate_AGE17,estimate_P_LIMENG,estimate_POV,estimate_PCI,estimate_GROUPQ,estimate_AGE65,estimate_P_AGE65,estimate_UNINSUR,estimate_P_UNINSUR,estimate_P_POV,estimate_HH,estimate_HU,estimate_P_NOVEH,estimate_P_DISABL,estimate_P_UNEMP,estimate_UNEMP,estimate_DISABL,estimate_MOBILE,estimate_NOVEH,estimate_P_CROWD,estimate_TOTPOP,moe_CROWD,moe_MUNIT,moe_LIMENG,moe_MINRTY,moe_SNGPNT,moe_NOHSDP,moe_AGE17,moe_P_LIMENG,moe_POV,moe_PCI,moe_GROUPQ,moe_AGE65,moe_P_AGE65,moe_UNINSUR,moe_P_UNINSUR,moe_P_POV,moe_HH,moe_HU,moe_P_NOVEH,moe_P_DISABL,moe_P_UNEMP,moe_UNEMP,moe_DISABL,moe_MOBILE,moe_NOVEH,moe_P_CROWD,moe_TOTPOP,estimate_PAGE17,moe_PAGE17,estimate_PSNGPNT,moe_PSNGPNT,estimate_PMINRTY,moe_PMINRTY,estimate_PLIMENG,moe_PLIMENG,estimate_PMUNIT,moe_PMUNIT,estimate_PCROWD,moe_PCROWD,estimate_PGROUPQ,moe_PGROUPQ,estimate_PLPOV,estimate_PLUNEMP,estimate_PLPCI,estimate_PLNOHSDP,SPL_THEME1,RPL_THEME1,estimate_PLAGE65,estimate_PLAGE17,estimate_PLDISABL,estimate_PLSNGPNT,SPL_THEME2,RPL_THEME2,estimate_PLMINRTY,estimate_PLLIMENG,SPL_THEME3,RPL_THEME3,estimate_PLMUNIT,estimate_PLMOBILE,estimate_PLCROWD,estimate_PLNOVEH,estimate_PLGROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES
16540,"Chambersburg-Waynesboro, PA Metro Area",812,2031,1416,17879,5219,13451,34814,144344,15640,29748,2208,28920,18.8,14867,9.8,10.3,60210,65192,6,14.2,5.3,4101,21614,5231,3606,60210,153751,223.77220560203628,312.01442274356486,350.62800800848754,NA,496.4846422599595,864,NA,82,1257,888,254,115,0.1,1194,0.8,0.8,538,116,0.7,0.7,0.6,498,1097,458,409,538,-555555555,22.643104760294243,NA,8.667995349609699,0.8209428326533432,11.628542253383719,NA,0.9809898575624896,0.2429107446555388,3.115412934102344,0.47857634882694344,1.3486131871782097,0.37145747998815243,1.4360882205644192,NA,0.1099,0.3548,0.5887,0.3953,1.4486999999999999,0.1754,0.8303,0.5497,0.5733,0.4319,2.3852,0.6911,0.1047,0.2879,0.3926,0.1649,0.0437,0.3548,0.3239,0.3805,0.1466,1.2495,0.07592,5.476,0.1257
16580,"Champaign-Urbana, IL Metro Area",4215,21728,3741,69117,6885,7602,46320,225978,43429,29883,16043,30626,12.8,11282,4.8,19.5,94978,105438,10.6,9.6,4.8,5932,22658,3951,10037,94978,239273,520.8781047423668,971.417520945551,614.361457124387,NA,519.6479577560177,633,78,51,1837,580,721,147,0.1,867,0.4,0.8,712,336,0.7,0.4,0.4,572,982,407,704,712,-555555555,19.358640548661988,NA,7.2490471477605345,0.5444191329360542,28.886251269470435,NA,1.655470886546478,0.2718675609964461,20.60737115650904,0.9189729552022672,4.437869822485207,0.5474097473094937,6.704893573449574,NA,0.8848,0.2391,0.5964,0.1335,1.8538000000000001,0.3743,0.1465,0.1204,0.05236,0.1414,0.46065999999999996,0.02094,0.5654,0.5296,1.095,0.5759,0.9589,0.2622,0.5141,0.9357,0.9319,3.6027999999999993,0.9293,7.0122599999999995,0.3639
16620,"Charleston, WV Metro Area",1093,6050,635,23296,8298,20691,44540,205511,39072,27199,3560,41908,19.3,13368,6.2,18.3,91846,108235,10.4,19.7,6.5,6175,42306,15153,9566,91846,217312,239.70815588961506,508.8064465000419,222.89459392277777,NA,671.764839806312,925,17,137,2118,758,418,72,0.1,1039,0.5,1,970,200,0.6,0.7,0.6,604,1414,651,548,970,-555555555,20.49587689589162,NA,9.034688500315745,0.7251528746093846,10.720070681784714,NA,0.3089858936991207,0.10845852142065188,5.589689102416039,0.46998070523464824,1.1900354941968077,0.2606864261125758,1.6381976144897659,NA,0.7958,0.6581,0.3625,0.5209,2.3373,0.7304,0.8689,0.2304,0.9634,0.5236,2.5863,0.8298,0.07592,0.03599,0.11191000000000001,0.04188,0.2082,0.7558,0.4987,0.928,0.199,2.5896999999999997,0.5393,7.62521,0.5105
16700,"Charleston-North Charleston, SC Metro Area",4347,34299,9132,272420,24784,49409,167877,712276,100005,33331,17426,108421,14.3,78892,10.6,13.5,285962,326417,5.6,12,4.9,18908,89199,34782,15982,285962,759247,494.8949383455038,1319.9734845821715,911.3226651411672,NA,1056.5879045304275,1838,90,124,4149,417,661,205,0.1,3008,0.4,0.6,1621,325,0.3,0.3,0.3,1098,2366,1073,841,1621,-555555555,22.110986279827248,NA,8.666885810002729,0.3662046159613276,35.88028665243327,NA,1.2820872807731836,0.12794496493770424,10.50772478149116,0.4042472199924064,1.5201320455165372,0.1728485248061439,2.2951687658956836,NA,0.3639,0.2674,0.7918,0.7696,2.1927,0.6126,0.3162,0.4503,0.2592,0.4293,1.455,0.2016,0.6885,0.419,1.1075,0.5864,0.6787,0.91,0.8149,0.2828,0.4136,3.1,0.7723,7.8552,0.5733
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",21806,120150,68947,950244,87852,186747,598528,2317627,309454,33180,34472,321625,13,260112,10.6,12.7,925313,1010758,5,10.8,6,78675,264492,72391,46211,925313,2473125,961.6194673570205,2258.0453936978324,2173.282080172751,NA,2050.7249937522097,3588,140,130,5709,227,1056,277,0.1,5174,0.2,0.2,2930,438,0.1,0.1,0.1,1936,3246,1705,1253,2930,-555555555,24.201283800859237,NA,9.494300847388939,0.21957645441465606,38.422805155420775,NA,2.9748963055746245,0.09377171732868061,11.88711838046298,0.22334179445730623,2.3566079802185858,0.10365544013969452,1.393864038412939,NA,0.2958,0.5167,0.7841,0.9503,2.5469,0.8534,0.1697,0.7618,0.1309,0.6126,1.675,0.288,0.7382,0.7301,1.4683,0.7932,0.7532,0.9846,0.9409,0.144,0.1283,2.951,0.6911,8.6412,0.7539
16820,"Charlottesville, VA Metro Area",1177,11219,3392,58964,6084,16858,44997,218973,27316,37562,13996,38440,16.6,19460,8.6,12.6,88696,101928,6,10.7,3.9,4553,24135,7553,5339,88696,230905,223.16361710637332,695.1560975780907,469.07675278146115,NA,537.6513740333972,1109,108,189,1774,1339,1096,188,0.1,1426,0.6,0.8,943,457,0.4,0.4,0.4,505,1023,603,404,943,-555555555,19.487235010069075,NA,6.859384865157391,0.6017702893621678,25.536042961391047,NA,1.5490494261849634,0.21421253587619563,11.006789106035633,0.6802192086613028,1.3270045999819609,0.25120918219141586,6.0613672289469696,NA,0.2853,0.0874,0.9332,0.4843,1.7902,0.3403,0.6041,0.1283,0.1257,0.08639,0.9444899999999999,0.07592,0.5026,0.4961,0.9987,0.5183,0.7044,0.4756,0.4936,0.3805,0.9084,2.9625,0.7016,6.69589,0.3141
16860,"Chattanooga, TN-GA Metro Area",3268,18555,5236,119068,15976,49497,117802,520664,75416,28912,15447,95068,17.2,54842,10.1,14,214328,242075,6.1,15.4,5.4,14623,84005,18425,12973,214328,552043,444.5323385311804,924.2104738640436,677.710852797858,NA,852.6623012658646,1475,187,192,2687,442,890,208,0.1,2336,0.4,0.5,1632,378,0.3,0.4,0.4,1131,2193,816,672,1632,-555555555,21.33927973002103,NA,7.453995744839685,0.39376089428271865,21.56860969163634,NA,1.0056389533365087,0.1301622739979745,7.664979861613136,0.3815991765110247,1.5247657795528349,0.2070822779628773,2.7981515932635683,NA,0.4188,0.3805,0.5219,0.7723,2.0935,0.5183,0.7018,0.322,0.7199,0.1754,1.9191,0.4188,0.3901,0.2982,0.6883,0.3037,0.4344,0.7969,0.7455,0.419,0.5576,2.9534,0.6937,7.654299999999999,0.5183
16940,"Cheyenne, WY Metro Area",592,2455,753,20626,3402,4502,22772,91460,9540,32920,2001,14718,15.1,7859,8.3,10,39179,42922,4.7,13.4,5.3,2628,12614,4028,1841,39179,97692,155.30936868070773,345.1376536977674,255.4623259895674,NA,419.10977082382607,481,144,52,1049,1025,206,73,0.1,919,1,1.1,509,91,0.7,0.7,0.8,416,692,332,259,509,-555555555,23.30999467714859,NA,8.683223155261748,1.063765807647421,21.113294845023134,NA,0.8233107369341788,0.27931551197388066,5.7196775546339875,0.8040128715589165,1.511013553178999,0.395923371506852,2.048274167792654,NA,0.08901,0.3548,0.7686,0.03403,1.24644,0.09686,0.4293,0.6361,0.4398,0.4372,1.9424,0.4319,0.3691,0.2082,0.5772999999999999,0.2382,0.2237,0.2802,0.08226,0.09512,0.3325,1.0137800000000001,0.03403,4.779920000000001,0.05497
16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",100850,671142,490734,4468120,299563,753077,2217561,8949751,1168518,36368,160072,1308354,13.7,776282,8.2,12.5,3495713,3832322,12,9.9,6.7,339651,933056,36850,420471,3495713,9536428,2560.9814524904314,4131.476854588441,5760.965110118269,NA,3982.526961616205,6398,142,210,13147,163,2615,379,0.1,11706,0.1,0.1,6876,1083,0.1,0.1,0.1,4382,6456,1122,3840,6876,-555555555,23.253580900521662,NA,8.569439195952299,0.11267216916318881,46.85318234458437,NA,5.483214002266655,0.06436998752852131,17.51267247376395,0.10769244285592759,2.884962238032699,0.07304052603787599,1.6785320457513024,NA,0.2723,0.6967,0.9023,0.9948,2.8661,0.9686,0.2571,0.6309,0.07853,0.3901,1.35663,0.1649,0.8298,0.8638,1.6936,0.8848,0.9203,0.9203,0.9949,0.9614,0.2068,4.0037,0.9921,9.92003,0.9607
17020,"Chico, CA Metro Area",2757,7374,5363,62685,6845,15823,45658,214552,44410,27537,6064,40219,17.7,16561,7.4,20.1,86797,98743,7.2,17,8.7,9085,38146,12863,6232,86797,227075,281.4480413859723,569.1370660921673,506.47507342415184,NA,515.3261103417913,862,NA,59,2008,772,659,71,0.1,1180,0.5,0.9,860,266,0.6,0.7,0.7,729,1479,788,486,860,-555555555,20.107013101398216,NA,7.886217265573695,0.5885499076894867,27.60541671253991,NA,2.499627130019762,0.23606068750218956,7.467871140232725,0.5760310051517218,3.1763770637234003,0.3227291757192696,2.670483320488825,NA,0.9084,0.9075,0.4036,0.4555,2.675,0.9162,0.7404,0.1754,0.8639,0.2435,2.0232,0.4895,0.5445,0.6889,1.2334,0.6675,0.419,0.7069,0.4859,0.6452,0.5131,2.7701,0.623,8.701699999999999,0.7644
17140,"Cincinnati, OH-KY-IN Metro Area",12111,112901,19248,441321,78222,133587,515414,2031963,270070,33130,48447,312637,14.4,122304,5.7,12.7,845473,928391,7.8,12.4,5.1,57715,266505,28208,66349,845473,2168825,774.9380620410899,2067.087322780535,1328.9928517490227,NA,1893.7700493988175,2629,246,222,6771,259,1422,330,0.1,3638,0.2,0.3,2473,621,0.2,0.2,0.1,1321,3610,1001,1710,2473,-555555555,23.764665198898022,NA,9.251862566870853,0.2223486649062822,20.348391410095328,NA,0.9472613428492547,0.06540430056941639,12.160932193440049,0.2225040248971809,1.4324526034539244,0.09156152374810592,2.2337901859301694,NA,0.2958,0.3085,0.7815,0.9084,2.2942,0.7016,0.3239,0.7068,0.3063,0.5707,1.9077,0.4084,0.3508,0.2674,0.6182000000000001,0.2592,0.7584,0.8766,0.9332,0.7301,0.4084,3.7067,0.9529,8.5268,0.7199
17300,"Clarksville, TN-KY Metro Area",1935,6750,2106,97351,11408,16144,75794,258645,40788,24922,10361,29158,10.3,21964,8.5,15,101955,117551,5.5,15.3,7.5,8848,39751,7826,5612,101955,282994,294.27877939124323,581.4894668005604,412.13832629349093,NA,725.0386196610496,996,79,176,2672,499,549,126,0.1,1472,0.6,1,1035,215,0.5,0.5,0.7,806,1405,550,534,1035,-555555555,26.782899990812524,NA,11.189250159384043,0.7020057204281928,34.40037597970275,NA,0.8142434611146552,0.15934421109471814,5.742188496907725,0.4945584428095335,1.8978961306458733,0.28799220339339987,3.6612083648416576,NA,0.5471,0.8303,0.1645,0.4686,2.0105000000000004,0.4607,0.03342,0.9215,0.6963,0.8639,2.51512,0.7749,0.6675,0.2031,0.8706,0.4136,0.2288,0.4987,0.545,0.2545,0.6885,2.2155,0.322,7.61172,0.5079
17420,"Cleveland, TN Metro Area",1139,1602,1735,15584,3961,13545,26593,114586,19424,26091,3340,20722,17.1,14097,11.7,16.5,46936,52104,5.4,18,6.2,3644,21579,6871,2530,46936,121339,244.2396364229197,263.8275952208184,352.89233485583105,NA,505.460186364861,842,57,47,1778,1128,382,146,0.1,1040,0.9,1.5,585,166,0.7,1,0.9,487,1219,537,352,585,-555555555,21.916284129587353,NA,8.439151184591784,1.0717646069907099,12.84335621687998,NA,1.5141465798614142,0.3079709714042392,3.0746199907876552,0.5062533053573913,2.426708709732402,0.5194876305795129,2.7526186963795647,NA,0.6859,0.5707,0.2699,0.4005,1.927,0.4136,0.6967,0.411,0.9058,0.3613,2.3748,0.6806,0.1204,0.4859,0.6063,0.2487,0.03599,0.4473,0.1697,0.2365,0.5393,1.4287899999999998,0.1021,6.33689,0.2435
17460,"Cleveland-Elyria, OH Metro Area",9646,139228,29073,618259,81794,140613,443464,1945972,298473,32548,43753,361607,17.5,116630,5.7,14.8,857453,960797,10.5,14.3,6.8,72719,291195,10002,89993,857453,2061766,765.8361443546524,1923.8846119245302,1533.0244616443665,NA,1620.026234355481,2705,71,71,5070,247,1317,202,0.1,3148,0.2,0.3,3038,629,0.2,0.2,0.2,1905,3454,582,1874,3038,-555555555,21.508939423775537,NA,9.539181739407292,0.185887137882537,29.986865628786198,NA,1.494009163543977,0.07877935009665347,14.490886212175932,0.20001355668210608,1.1249596187779387,0.08922625351789323,2.122112790685267,NA,0.5157,0.7275,0.7609,0.9162,2.9203,0.9817,0.7275,0.3455,0.5916,0.6178,2.2824,0.6283,0.589,0.4833,1.0723,0.5602,0.8509,0.6067,0.9383,0.9332,0.3639,3.6930000000000005,0.9476,9.968,0.9712
17660,"Coeur d'Alene, ID Metro Area",1075,4464,389,14147,5469,7923,35654,144389,18370,29429,1808,27653,18,15658,10.3,12.1,60497,69325,3.7,13.5,5.2,3838,20519,5799,2229,60497,153605,262.39283526803854,502.8130865440954,191.23545696339892,NA,613.205512043067,788,NA,47,1572,745,231,115,0.1,1205,0.8,1,642,139,0.6,0.8,0.7,520,1174,615,342,642,-555555555,23.211484001171836,NA,9.04011769178637,1.0090629573267682,9.209986654080272,NA,0.26941110472404406,0.13244458722112995,6.439235485034259,0.7251834350044674,1.7769476172372185,0.43331855489730214,1.177045018065818,NA,0.233,0.3239,0.5604,0.1466,1.2639000000000002,0.1047,0.7686,0.6178,0.4476,0.5262,2.3602,0.6728,0.04974,0.02314,0.07288,0.02618,0.3188,0.3882,0.3316,0.02057,0.06021,1.11938,0.04712,4.81636,0.05759
17780,"College Station-Bryan, TX Metro Area",3275,14986,10228,109734,7895,19399,53232,238329,55301,26622,16069,25735,10.1,33586,13.5,23.2,92165,105574,5.4,9.2,4.6,5844,23007,10577,4956,92165,253946,426.75519914817676,783.5540823708342,964.740379584062,NA,620.8002899483859,1108,43,65,2430,620,865,140,0.1,1789,0.7,1,963,357,0.6,0.4,0.5,616,1043,678,586,963,-555555555,20.9619367897112,NA,8.56615852004557,0.6676016858038387,43.211548911973416,NA,4.291546559587797,0.4047918409880706,14.19478280637278,0.7406309149953983,3.553409645744046,0.461542938554835,6.327723216746868,NA,0.966,0.1954,0.3033,0.5157,1.9804000000000002,0.4424,0.02314,0.2749,0.03141,0.3874,0.71685,0.04188,0.7775,0.8046,1.5821,0.8351,0.8303,0.6272,0.5013,0.2365,0.9241,3.1194,0.7827,7.3987500000000015,0.4319
17820,"Colorado Springs, CO Metro Area",7289,33802,10095,212775,23073,28561,173353,664326,74928,32418,18599,88119,12.4,50703,7.5,10.8,263562,281748,4.2,12.5,6.2,21375,84911,9488,11076,263562,712266,629.7491564107092,1116.8889828447589,1032.5851054513619,NA,1096.9092943356802,1439,77,107,3182,367,655,111,0.1,2401,0.3,0.5,1217,340,0.3,0.3,0.3,917,1760,526,761,1217,-555555555,24.33823880404231,NA,8.754296901677785,0.414218694265696,29.872968806597534,NA,1.5195852638614176,0.15543330011133863,11.997245765719722,0.3961497023965475,2.765573185815861,0.2385962738076459,2.611243552268394,NA,0.1492,0.5707,0.7558,0.6361,2.1118,0.534,0.1105,0.7775,0.322,0.4476,1.6576,0.2723,0.5864,0.4884,1.0748,0.5628,0.7558,0.5758,0.7969,0.05398,0.4948,2.67728,0.5916,7.52148,0.4764
17860,"Columbia, MO Metro Area",1236,8577,2018,37062,5066,6161,35916,166060,30607,29365,9109,20163,11.4,12251,7,18.3,69957,76185,6,11.2,4.3,4162,19635,3354,4199,69957,176515,326.58842600435185,717.0955305954709,476.3339164913622,NA,528.5035477648187,604,29,45,1870,800,575,139,0.1,1095,0.6,1.1,724,268,0.8,0.6,0.7,649,1124,464,550,724,-555555555,20.347279268050876,NA,7.2415912632045405,0.7517425785849658,20.996515876837663,NA,1.2152234132241357,0.2868442747127725,11.25812167749557,0.9404220141685307,1.7667996054719328,0.4664834430282082,5.160467948899527,NA,0.7958,0.1337,0.5553,0.08639,1.5711899999999999,0.2304,0.06941,0.2042,0.1649,0.1387,0.57721,0.02618,0.3639,0.3805,0.7444,0.3403,0.7275,0.2108,0.4036,0.3805,0.8665,2.5889,0.5366,5.4817,0.1283
17900,"Columbia, SC Metro Area",5114,30327,10563,353775,32011,56564,182197,769242,118912,28688,35139,114497,14,78024,9.9,15.2,308718,351181,6,13.9,6.4,26259,109390,47623,18472,308718,816664,516.4348942509598,1192.2386506064965,971.80707962023,NA,1281.552183877036,1372,113,174,4444,340,1182,151,0.1,3315,0.4,0.6,1633,503,0.3,0.3,0.3,1286,2259,1273,806,1633,-555555555,22.309909583378232,NA,10.369009905480082,0.4114812815797863,43.31952920662598,NA,1.3731699517187048,0.12633269405363742,8.635717763774236,0.33926866504306175,1.6565279640318997,0.16705405351575628,4.302748743669367,NA,0.5654,0.635,0.5064,0.7984,2.5052000000000003,0.8351,0.2828,0.4817,0.5288,0.7644,2.0576999999999996,0.5131,0.7827,0.4396,1.2223,0.6597,0.5167,0.9537,0.8278,0.3805,0.7749,3.4536000000000002,0.9058,9.2388,0.8796
17980,"Columbus, GA-AL Metro Area",2528,13330,3155,163113,13102,26551,74452,286164,56791,25568,11965,40482,13.2,35805,12.3,19.2,113703,133397,9.5,17.7,8.8,11907,51443,8900,10858,113703,307724,367.4914965002592,723.0560144276513,532.8161033602494,NA,673.5317364460267,1194,166,140,2522,524,934,268,0.1,1612,0.6,0.9,1179,361,0.6,0.6,0.6,872,1749,622,684,1179,-555555555,24.194407975978475,NA,11.523002911092934,0.5801851090020428,53.00626535466847,NA,1.102514641953565,0.18619178779835482,9.992728472154546,0.5413581879459013,2.2233362356314257,0.32237972092577494,3.888224512875174,NA,0.8665,0.9177,0.2159,0.6152,2.6153000000000004,0.8874,0.1928,0.7592,0.8979,0.9136,2.7634999999999996,0.911,0.8717,0.3265,1.1982,0.6387,0.6375,0.563,0.5758,0.8715,0.7277,3.3755,0.8743,9.9525,0.9686
18020,"Columbus, IN Metro Area",895,2498,1379,14470,2809,5020,19684,76444,10508,30515,941,12792,15.6,7400,9.1,13,31669,34134,4.5,12.1,4.8,2042,9803,2519,1415,31669,81893,222.3015969353347,336.60956611480907,363.4969050762331,NA,385.2920969861697,615,50,28,1329,794,176,133,0.2,1104,1.4,1.6,423,106,0.8,0.9,0.8,344,699,325,264,423,-555555555,24.036242413881528,NA,8.8698727462187,1.210840023172782,17.669397872834065,NA,1.8039349065982941,0.47550697784096657,7.318216441085134,0.9858796771837186,2.826107549970002,0.7009376199786604,1.1490603592492643,NA,0.322,0.2391,0.6504,0.05497,1.26647,0.1073,0.4781,0.7408,0.2775,0.4764,1.9728,0.4529,0.2801,0.5578,0.8379,0.3979,0.3933,0.1208,0.02057,0.07198,0.05497,0.66162,0.005236,4.738790000000001,0.0445
18140,"Columbus, OH Metro Area",14625,91274,31425,547112,77507,119705,488544,1916408,273069,33082,51890,259568,12.6,143034,7.1,13.7,784786,855015,6.5,11.9,4.8,52496,241210,21158,51052,784786,2054062,898.9104516023829,2231.9168891336435,1649.2237568019689,NA,1957.006131824834,2422,267,215,6698,187,1553,250,0.1,3989,0.2,0.3,2388,653,0.2,0.2,0.2,1765,3413,1037,1489,2388,-555555555,23.7842869397321,NA,9.87619554885026,0.2475506848189355,26.635612751708564,NA,1.6397865172760706,0.08605787434241996,10.675134354368051,0.26091098188424033,1.8635653541220154,0.11440165948445513,2.5262139117514466,NA,0.3901,0.2391,0.7763,0.9031,2.3086,0.7147,0.1362,0.7147,0.2487,0.678,1.7776,0.3455,0.5157,0.5244,1.0401,0.5445,0.6889,0.8226,0.9229,0.5193,0.4791,3.4328,0.8979,8.559099999999999,0.7356
18580,"Corpus Christi, TX Metro Area",8247,16961,12033,301920,17323,52697,112921,421476,73493,27478,9153,65549,14.5,77127,17.3,16.6,161479,192056,7.5,14.2,5.8,12585,63219,10973,12157,161479,452295,749.7652966095457,883.4885398238055,924.207768848542,NA,929.0258338711577,1396,162,86,3298,517,498,158,0.1,2630,0.6,0.7,1447,251,0.5,0.3,0.4,883,1551,643,821,1447,-555555555,24.96622779380714,NA,10.72771072399507,0.5672350104015466,66.75289357609525,NA,2.8549668308515788,0.21927808641005408,8.83127837714,0.4598712979236052,5.107165637637092,0.46205041751875536,2.0236792358969256,NA,0.6963,0.473,0.3985,0.7853,2.3531,0.7539,0.3419,0.8534,0.5733,0.8325,2.6011,0.8429,0.9503,0.7224,1.6727,0.8796,0.5347,0.6427,0.6864,0.6864,0.3194,2.8695999999999997,0.6518,9.4965,0.9136
18700,"Corvallis, OR Metro Area",704,4901,1398,17433,1817,2479,14824,86116,16374,32297,5702,13573,15.1,5045,5.6,19.4,35056,38037,7.1,11,6.2,2834,9842,2363,2489,35056,89780,188.1754500459611,468.10789354592174,338.32233151242025,NA,340.77118422777477,328,32,52,1011,1123,484,111,0.1,721,0.8,1.2,451,202,0.9,0.7,0.8,382,653,279,311,451,-555555555,16.511472488304747,NA,5.183135554541305,0.9697868468108889,19.4174649142348,NA,1.623391704212922,0.39286692177396326,12.884822672660832,1.228760833538934,2.008215426745778,0.536163172349392,6.351080418801515,NA,0.877,0.5707,0.7481,0.005236,2.201036,0.6204,0.4293,0.01832,0.1492,0.01571,0.61253,0.0288,0.3272,0.5167,0.8439000000000001,0.4058,0.7763,0.1003,0.0437,0.6324,0.9267,2.4794,0.4712,6.136866,0.2147
18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",2305,26241,3575,62615,7594,16785,57957,249397,31786,32353,7748,43787,16.4,31648,12.6,12.3,103835,147075,5.2,15.6,5.5,6841,39287,12095,5429,103835,266595,350.0771343575584,1003.4385880560902,523.7728515301266,NA,727.6070367993976,1024,34,205,2216,712,671,119,0.1,1810,0.7,0.9,1231,276,0.5,0.5,0.6,761,1351,717,484,1231,-555555555,21.739717549091317,NA,7.313526267636153,0.6953490744748975,23.48693711434948,NA,1.433457499488767,0.2100123931334447,17.8419173890872,0.6814411313726039,2.2198680599027303,0.33611880951982726,2.906281063035691,NA,0.2487,0.401,0.7506,0.4817,1.8820000000000001,0.3927,0.581,0.3822,0.7618,0.1545,1.8795000000000002,0.3874,0.4346,0.4653,0.8998999999999999,0.4372,0.9332,0.6812,0.5527,0.1877,0.589,2.9438,0.6859,7.6052,0.5052
19060,"Cumberland, MD-WV Metro Area",427,2027,576,10906,3263,6786,18183,94584,14403,23353,8693,19732,19.9,5032,5.4,15.9,39021,46106,9.7,19.3,7.9,3478,18062,2622,3792,39021,99255,157.07959765672945,244.6160256401857,206.51876428063383,NA,373.45013053954074,542,60,82,1090,557,440,98,0.1,548,0.6,1.2,520,195,1.1,0.9,0.9,408,875,287,437,520,-555555555,18.319480126945745,NA,8.362163962994284,0.9505393793330412,10.987859553674879,NA,0.608982491753362,0.2183436527771439,4.396390925259185,0.5302254649105579,1.0942825657979038,0.4022872240968435,8.75824895471261,NA,0.6283,0.8689,0.07969,0.09948,1.67637,0.2827,0.9049,0.06806,0.945,0.3455,2.26346,0.6178,0.08377,0.1388,0.22257,0.08115,0.1105,0.1311,0.07969,0.8869,0.9738,2.18199,0.3089,6.34439,0.2487
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",117964,523108,480297,3850979,256237,693019,1915498,6744151,903397,33897,82913,782327,10.8,1192434,16.6,12.6,2536055,2744543,4.7,9.5,4.8,183178,685105,100280,120233,2536055,7255028,2662.021036731303,4808.764706242135,6538.682130215538,NA,3682.227722452809,6800,175,227,13980,151,2103,404,0.1,13262,0.2,0.2,5465,776,0.1,0.1,0.1,4127,5572,2225,2274,5465,-555555555,26.402351582929796,NA,10.103763522478811,0.14355334505216527,53.08013973205893,NA,7.1216821806036075,0.09695308046230426,19.059930924747764,0.1751289588458996,4.651476407254575,0.10448732321822035,1.1428350104231162,NA,0.2853,0.2391,0.8278,0.9895,2.3417,0.7356,0.05141,0.9136,0.04712,0.7304,1.74253,0.3194,0.877,0.892,1.7690000000000001,0.911,0.9486,0.9897,0.9923,0.09512,0.05236,3.0780800000000004,0.7618,8.93131,0.822
19140,"Dalton, GA Metro Area",2800,2789,10862,49267,4604,28460,37388,133894,24246,22539,1629,19566,13.6,24715,17.4,17.1,50124,55974,5.6,11.9,6.7,4615,16953,11320,2810,50124,143406,447.14650842872516,389.8730562631893,921.2176724314401,NA,522.5600443968137,1086,34,78,1870,806,316,169,0.1,1747,1.2,1.3,713,120,0.9,0.7,0.8,587,943,592,452,713,-555555555,26.071433552292095,NA,9.185220652781103,1.034314792582193,34.35490844176673,NA,8.112387410937009,0.6880038989382996,4.982670525601172,0.6964433561497543,5.586146357034554,0.8885346289974437,1.1359357349064891,NA,0.7408,0.6967,0.05656,0.6335,2.12756,0.5497,0.2391,0.9005,0.2487,0.5628,1.9510999999999998,0.4372,0.6649,0.9075,1.5724,0.8298,0.1568,0.6581,0.2185,0.2828,0.0445,1.3606999999999998,0.09686,7.011759999999999,0.3613
19180,"Danville, IL Metro Area",501,2084,524,16858,3550,6353,18682,73265,14728,24272,2754,14376,18.3,4656,6.1,19.6,31180,36133,10.4,15.4,7.5,2543,11658,1840,3247,31180,78407,145.15164484083533,274.5268657162719,192.77188591700815,NA,342.257213218363,383,23,36,1067,653,204,85,0.1,529,0.7,1.4,383,102,1.1,0.8,0.9,316,603,233,342,383,-555555555,23.826954226025737,NA,11.385503527902502,1.0887361427601485,21.500631321183057,NA,0.7152119019995905,0.2631156950351293,5.767580881742451,0.759593238220042,1.6067992302758178,0.46510945712666735,3.512441491193388,NA,0.8901,0.8303,0.1234,0.09424,1.9380400000000002,0.4188,0.7866,0.7251,0.7199,0.8927,3.1243,0.9948,0.3822,0.1697,0.5519,0.2277,0.2339,0.06941,0.01799,0.928,0.6728,1.9221,0.212,7.536339999999999,0.4817
